case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG12_T1a,bpg,BPG12,T1a,7,least_squares,0.951,6.053803e+02,9.765651e-01,False,304,False
BPG12_T1b,bpg,BPG12,T1b,7,CMA-ES,10.151,2.208607e+02,3.562799e-01,False,26880,False
BPG12_T1b,bpg,BPG12,T1b,7,DE,14.863,4.263349e-10,6.877392e-13,True,37968,False
BPG12_T1b,bpg,BPG12,T1b,7,Hybrid,18.007,4.266114e-10,6.881852e-13,True,28892,False
BPG12_T1b,bpg,BPG12,T1b,7,L-BFGS-B,1.094,1.671759e-07,2.696786e-10,False,3688,False
BPG12_T1b,bpg,BPG12,T1b,7,least_squares,0.395,5.939328e+02,9.580987e-01,False,152,False
BPG12_T2a,bpg,BPG12,T2a,5,CMA-ES,8.314,4.426825e-08,7.141103e-11,True,21860,False
BPG12_T2a,bpg,BPG12,T2a,5,DE,11.813,4.266421e-10,6.882347e-13,True,30758,False
BPG12_T2a,bpg,BPG12,T2a,5,Hybrid,18.831,4.266421e-10,6.882347e-13,True,27248,False
BPG12_T2a,bpg,BPG12,T2a,5,L-BFGS-B,0.755,6.094607e+02,9.831473e-01,False,2130,False
BPG12_T2a,bpg,BPG12,T2a,5,least_squares,0.869,4.369514e+02,7.048652e-01,False,282,False
BPG12_T2b,bpg,BPG12,T2b,5,CMA-ES,5.89,6.174508e+02,9.960366e-01,False,25220,False
BPG12_T2b,bpg,BPG12,T2b,5,DE,28.423,5.067918e+02,8.175278e-01,False,86720,False
BPG12_T2b,bpg,BPG12,T2b,5,Hybrid,1.056,4.266681e-10,6.882768e-13,True,1,False
BPG12_T2b,bpg,BPG12,T2b,5,L-BFGS-B,0.047,6.198002e+02,9.998265e-01,False,186,False
BPG12_T2b,bpg,BPG12,T2b,5,least_squares,11.224,6.196322e+02,9.995554e-01,False,5002,False
BPG12_T4a,bpg,BPG12,T4a,8,CMA-ES,7.315,4.525138e+02,7.299696e-01,False,25840,False
BPG12_T4a,bpg,BPG12,T4a,8,DE,12.797,4.266153e-10,6.881916e-13,True,43282,False
BPG12_T4a,bpg,BPG12,T4a,8,Hybrid,11.363,4.266158e-10,6.881924e-13,True,17770,False
BPG12_T4a,bpg,BPG12,T4a,8,L-BFGS-B,0.915,4.525138e+02,7.299696e-01,False,3609,False
BPG12_T4a,bpg,BPG12,T4a,8,least_squares,1.5,5.906733e+02,9.528406e-01,False,905,False
BPG12_T4b,bpg,BPG12,T4b,8,CMA-ES,7.707,5.985136e-08,9.654882e-11,True,35380,False
BPG12_T4b,bpg,BPG12,T4b,8,DE,13.585,4.266259e-10,6.882086e-13,True,54980,False
BPG12_T4b,bpg,BPG12,T4b,8,Hybrid,15.972,4.266322e-10,6.882189e-13,True,19479,False
BPG12_T4b,bpg,BPG12,T4b,8,L-BFGS-B,0.941,4.244721e+02,6.847343e-01,False,3969,False
BPG12_T4b,bpg,BPG12,T4b,8,least_squares,10.006,3.439085e+02,5.547737e-01,False,3775,False
BPG13_T0,bpg,BPG13,T0,7,CMA-ES,6.27,7.112331e-11,8.813461e-11,True,29900,False
BPG13_T0,bpg,BPG13,T0,7,DE,15.148,5.306706e-13,6.575966e-13,True,70222,False
BPG13_T0,bpg,BPG13,T0,7,Hybrid,5.189,5.306706e-13,6.575965e-13,True,7083,False
BPG13_T0,bpg,BPG13,T0,7,L-BFGS-B,0.441,3.883897e-06,4.812848e-06,False,1520,False
BPG13_T0,bpg,BPG13,T0,7,least_squares,0.124,5.306706e-13,6.575965e-13,True,94,False
BPG13_T1a,bpg,BPG13,T1a,10,CMA-ES,3.851,6.452155e-11,7.995383e-11,True,11940,False
BPG13_T1a,bpg,BPG13,T1a,10,DE,120.01,1.777283e-10,2.202374e-10,False,200618,True
BPG13_T1a,bpg,BPG13,T1a,10,Hybrid,21.651,5.304331e-13,6.573023e-13,True,25446,False
BPG13_T1a,bpg,BPG13,T1a,10,L-BFGS-B,1.415,3.284710e-02,4.070348e-02,False,3421,False
BPG13_T1a,bpg,BPG13,T1a,10,least_squares,0.282,5.304687e-13,6.573464e-13,True,108,False
BPG13_T1b,bpg,BPG13,T1b,10,CMA-ES,2.986,7.924427e-11,9.819794e-11,True,9340,False
BPG13_T1b,bpg,BPG13,T1b,10,DE,41.679,5.989404e-13,7.421952e-13,True,100232,False
