case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG18_T1a,bpg,BPG18,T1a,7,least_squares,0.274,4.498384e+02,9.307915e-01,False,80,False
BPG18_T1b,bpg,BPG18,T1b,7,CMA-ES,3.305,4.690826e-08,9.706109e-11,True,11020,False
BPG18_T1b,bpg,BPG18,T1b,7,DE,11.156,4.931495e-10,1.020409e-12,True,34390,False
BPG18_T1b,bpg,BPG18,T1b,7,Hybrid,18.731,1.662073e-08,3.439110e-11,True,23235,False
BPG18_T1b,bpg,BPG18,T1b,7,L-BFGS-B,2.104,1.848755e-07,3.825386e-10,False,5352,False
BPG18_T1b,bpg,BPG18,T1b,7,least_squares,0.082,4.933476e-10,1.020819e-12,True,36,False
BPG19_T1a,bpg,BPG19,T1a,7,CMA-ES,1.231,6.125422e-10,8.739097e-11,True,3500,False
BPG19_T1a,bpg,BPG19,T1a,7,DE,21.749,6.277146e-13,8.955560e-14,True,70214,False
BPG19_T1a,bpg,BPG19,T1a,7,Hybrid,22.403,6.277185e-13,8.955616e-14,True,40295,False
BPG19_T1a,bpg,BPG19,T1a,7,L-BFGS-B,1.566,6.203541e-05,8.850548e-06,False,4320,False
BPG19_T1a,bpg,BPG19,T1a,7,least_squares,3.859,2.314056e-04,3.301447e-05,False,1899,False
BPG19_T1b,bpg,BPG19,T1b,7,CMA-ES,1.522,3.558548e-10,5.076955e-11,True,3840,False
BPG19_T1b,bpg,BPG19,T1b,7,DE,17.078,6.262917e-13,8.935260e-14,True,40814,False
BPG19_T1b,bpg,BPG19,T1b,7,Hybrid,25.303,6.256963e-13,8.926765e-14,True,36178,False
BPG19_T1b,bpg,BPG19,T1b,7,L-BFGS-B,1.041,5.874947e-04,8.381745e-05,False,2880,False
BPG19_T1b,bpg,BPG19,T1b,7,least_squares,10.624,5.364625e-04,7.653673e-05,False,4012,False
BPG1_T1a,bpg,BPG1,T1a,9,CMA-ES,18.829,4.024642e-03,1.818444e-05,False,60000,False
BPG1_T1a,bpg,BPG1,T1a,9,DE,115.737,5.198424e-03,2.348791e-05,False,271150,False
BPG1_T1a,bpg,BPG1,T1a,9,Hybrid,35.499,1.145070e-12,5.173742e-15,True,52635,False
BPG1_T1a,bpg,BPG1,T1a,9,L-BFGS-B,2.466,1.736075e-02,7.844066e-05,False,6320,False
BPG1_T1a,bpg,BPG1,T1a,9,least_squares,9.725,8.780584e-04,3.967310e-06,False,2924,False
BPG1_T1b,bpg,BPG1,T1b,9,CMA-ES,13.848,4.849278e-02,2.191037e-04,False,41660,False
BPG1_T1b,bpg,BPG1,T1b,9,DE,117.746,3.865752e-05,1.746653e-07,False,270600,False
BPG1_T1b,bpg,BPG1,T1b,9,Hybrid,42.051,1.144957e-12,5.173230e-15,True,60589,False
BPG1_T1b,bpg,BPG1,T1b,9,L-BFGS-B,3.184,9.259143e-04,4.183536e-06,False,9520,False
BPG1_T1b,bpg,BPG1,T1b,9,least_squares,3.838,1.144978e-12,5.173325e-15,True,951,False
BPG20_T1a,bpg,BPG20,T1a,10,CMA-ES,3.016,1.308367e-09,9.069293e-11,True,9280,False
BPG20_T1a,bpg,BPG20,T1a,10,DE,48.093,8.654442e-12,5.999056e-13,True,100320,False
BPG20_T1a,bpg,BPG20,T1a,10,Hybrid,26.088,8.263588e-12,5.728125e-13,True,29152,False
BPG20_T1a,bpg,BPG20,T1a,10,L-BFGS-B,0.969,4.431077e-01,3.071518e-02,False,2288,False
BPG20_T1a,bpg,BPG20,T1a,10,least_squares,0.209,8.453962e-12,5.860088e-13,True,47,False
BPG20_T1b,bpg,BPG20,T1b,10,CMA-ES,18.239,1.353989e-07,9.385534e-09,False,36180,False
BPG20_T1b,bpg,BPG20,T1b,10,DE,79.412,8.616604e-12,5.972828e-13,True,200640,False
BPG20_T1b,bpg,BPG20,T1b,10,Hybrid,24.666,8.250508e-12,5.719059e-13,True,35668,False
BPG20_T1b,bpg,BPG20,T1b,10,L-BFGS-B,0.582,8.026581e+01,5.563838e+00,False,1936,False
BPG20_T1b,bpg,BPG20,T1b,10,least_squares,50.22,1.177179e-07,8.159929e-09,False,11074,False
BPG21_T1a,bpg,BPG21,T1a,8,CMA-ES,1.478,6.658559e-14,9.055008e-11,True,3440,False
BPG21_T1a,bpg,BPG21,T1a,8,DE,27.635,1.951572e-18,2.653952e-15,True,78169,False
BPG21_T1a,bpg,BPG21,T1a,8,Hybrid,21.43,1.951608e-18,2.654001e-15,True,24516,False
BPG21_T1a,bpg,BPG21,T1a,8,L-BFGS-B,0.594,5.122417e-06,6.966001e-03,False,1836,False
BPG21_T1a,bpg,BPG21,T1a,8,least_squares,0.311,1.951659e-18,2.654070e-15,True,118,False
BPG21_T1b,bpg,BPG21,T1b,8,CMA-ES,1.724,3.839235e-14,5.220995e-11,True,3440,False
BPG21_T1b,bpg,BPG21,T1b,8,DE,27.979,1.950779e-18,2.652874e-15,True,52489,False
BPG21_T1b,bpg,BPG21,T1b,8,Hybrid,23.471,1.947429e-18,2.648318e-15,True,30433,False
BPG21_T1b,bpg,BPG21,T1b,8,L-BFGS-B,2.025,5.738362e-06,7.803627e-03,False,4167,False
BPG21_T1b,bpg,BPG21,T1b,8,least_squares,0.183,1.953131e-18,2.656072e-15,True,63,False
BPG22_T1a,bpg,BPG22,T1a,8,CMA-ES,18.023,4.780852e-02,4.061268e-04,False,47940,False
BPG22_T1a,bpg,BPG22,T1a,8,DE,43.341,4.787584e-02,4.066987e-04,False,135761,False
BPG22_T1a,bpg,BPG22,T1a,8,Hybrid,18.008,2.209517e-13,1.876954e-15,True,27337,False
BPG22_T1a,bpg,BPG22,T1a,8,L-BFGS-B,0.791,5.357638e-02,4.551240e-04,False,2277,False
BPG22_T1a,bpg,BPG22,T1a,8,least_squares,0.18,2.773617e-05,2.356150e-07,False,82,False
BPG22_T1b,bpg,BPG22,T1b,8,CMA-ES,16.956,1.479612e-02,1.256910e-04,False,38440,False
BPG22_T1b,bpg,BPG22,T1b,8,DE,54.809,2.930574e-07,2.489482e-09,False,133681,False
BPG22_T1b,bpg,BPG22,T1b,8,Hybrid,18.01,2.208646e-13,1.876214e-15,True,32175,False
BPG22_T1b,bpg,BPG22,T1b,8,L-BFGS-B,0.434,1.155808e-01,9.818432e-04,False,1062,False
BPG22_T1b,bpg,BPG22,T1b,8,least_squares,23.186,1.195355e-03,1.015437e-05,False,8142,False
BPG23_T1a,bpg,BPG23,T1a,7,CMA-ES,13.922,1.312872e-01,9.753754e-03,False,60000,False
BPG23_T1a,bpg,BPG23,T1a,7,DE,13.212,5.578733e-12,4.144623e-13,True,57396,False
BPG23_T1a,bpg,BPG23,T1a,7,Hybrid,18.007,5.578726e-12,4.144617e-13,True,34741,False
BPG23_T1a,bpg,BPG23,T1a,7,L-BFGS-B,0.71,1.334985e-01,9.918035e-03,False,2280,False
BPG23_T1a,bpg,BPG23,T1a,7,least_squares,0.06,5.578755e-12,4.144639e-13,True,42,False
BPG23_T1b,bpg,BPG23,T1b,7,CMA-ES,5.498,4.256160e-03,3.162040e-04,False,21760,False
BPG23_T1b,bpg,BPG23,T1b,7,DE,26.79,4.241141e-03,3.150881e-04,False,71836,False
BPG23_T1b,bpg,BPG23,T1b,7,Hybrid,18.009,5.568034e-12,4.136674e-13,True,23684,False
BPG23_T1b,bpg,BPG23,T1b,7,L-BFGS-B,1.089,9.743010e-07,7.238399e-08,False,3280,False
BPG23_T1b,bpg,BPG23,T1b,7,least_squares,28.053,1.111524e-02,8.257872e-04,False,11263,False
BPG2_T1a,bpg,BPG2,T1a,7,CMA-ES,22.715,2.319106e-03,3.978262e-04,False,50080,False
BPG2_T1a,bpg,BPG2,T1a,7,DE,13.822,3.897419e-03,6.685744e-04,False,41590,False
BPG2_T1a,bpg,BPG2,T1a,7,Hybrid,18.654,3.615099e-12,6.201445e-13,True,29752,False
BPG2_T1a,bpg,BPG2,T1a,7,L-BFGS-B,1.415,1.611355e+00,2.764164e-01,False,2288,False
BPG2_T1a,bpg,BPG2,T1a,7,least_squares,2.476,4.175355e+00,7.162523e-01,False,600,False
BPG2_T1b,bpg,BPG2,T1b,7,CMA-ES,13.19,7.685816e-03,1.318447e-03,False,28860,False
BPG2_T1b,bpg,BPG2,T1b,7,DE,20.667,8.105020e-01,1.390358e-01,False,43612,False
BPG2_T1b,bpg,BPG2,T1b,7,Hybrid,18.654,9.002942e-11,1.544391e-11,True,29618,False
BPG2_T1b,bpg,BPG2,T1b,7,L-BFGS-B,0.592,5.309801e+00,9.108585e-01,False,2096,False
BPG2_T1b,bpg,BPG2,T1b,7,least_squares,1.253,8.146224e-03,1.397427e-03,False,312,False
BPG3_T1a,bpg,BPG3,T1a,8,CMA-ES,2.235,3.229401e-13,5.331145e-11,True,2800,False
